rank_abs,Entity,Code,y2016,abs_change_pp,atlas2025_adult_highBMI_2025_pct,atlas2025_adult_obesity_2025_pct,atlas2025_obese_adults_2015_thousands,atlas2025_obese_adults_2030_thousands,atlas2023_annual_increase_adult_obesity_2020_2035_pct,atlas2023_adult_obesity_2035_pct,atlas2022_adult_obesity_2030_pct,atlas2022_annual_increase_adult_obesity_2010_2030_pct,atlas2022_men_obesity_2030_pct,atlas2022_women_obesity_2030_pct,country_atlas,page_atlas2022,page_atlas2023,page_atlas2025
111,Uganda,UGA,5.3,2.1,26.0,9.0,770.0,2970.0,4.7,14.0,8.1,3.3,2.88,13.02,Uganda,266.0,212.0,250.0
111,Niger,NER,5.5,2.1,20.0,7.0,367.0,1086.0,4.8,15.0,8.4,3.3,3.78,13.06,Niger,207.0,158.0,190.0
113,North Korea,PRK,6.8,1.9,41.0,12.0,1460.0,2850.0,,,9.3,2.5,8.94,9.7,North Korea,210.0,,193.0
114,Nepal,NPL,4.1,1.8,35.0,8.0,691.0,1961.0,5.3,12.0,6.5,3.9,4.26,8.48,Nepal,203.0,154.0,186.0
114,Ethiopia,ETH,4.5,1.8,12.0,3.0,874.0,3090.0,4.9,12.0,6.8,3.5,2.96,10.56,Ethiopia,140.0,94.0,124.0
116,Bangladesh,BGD,3.6,1.7,31.0,6.0,3090.0,9110.0,5.7,11.0,5.8,4.1,3.72,7.84,Bangladesh,93.0,50.0,78.0
116,Cambodia,KHM,3.9,1.7,29.0,5.0,260.0,726.0,5.8,12.0,6.0,3.8,4.34,7.44,Cambodia,110.0,66.0,95.0
118,India,IND,3.9,1.6,33.0,8.0,41600.0,104690.0,5.2,11.0,6.1,3.7,4.48,7.88,India,161.0,114.0,145.0
118,Japan,JPN,4.3,1.6,25.0,6.0,4530.0,6810.0,3.6,8.0,6.5,3.2,7.63,5.4,Japan,169.0,122.0,153.0
120,South Korea,KOR,4.7,1.2,37.0,8.0,1950.0,4130.0,4.2,12.0,6.4,2.4,6.44,6.37,South Korea,245.0,193.0,228.0
121,Vietnam,VNM,2.1,1.1,21.0,2.0,723.0,2120.0,6.3,7.0,3.4,4.5,2.62,4.11,Vietnam,275.0,221.0,259.0
121,Singapore,SGP,6.1,1.1,43.0,15.0,421.0,905.0,2.1,9.0,7.9,1.8,8.18,7.58,Singapore,239.0,187.0,222.0
