Entity,Code,Year,obesity_pct,ncd_country,ncd_men_pct,ncd_women_pct,ncd_mean_MW_pct,abs_diff_pp
Greece,GRC,2006,20.8,Greece,19.5450487419743,23.5167044354552,21.530876588714747,0.7308765887147466
Denmark,DNK,2016,19.7,Denmark,23.1470190353662,17.7089442479312,20.4279816416487,0.7279816416487002
Saint Kitts and Nevis,KNA,2016,22.9,Saint Kitts and Nevis,15.9231554217524,31.3306549222374,23.6269051719949,0.7269051719949005
Papua New Guinea,PNG,2016,21.3,Papua New Guinea,17.2570514908744,26.791715747711198,22.0243836192928,0.7243836192927979
Iraq,IRQ,2006,24.9,Iraq,18.3262923766626,32.9223676571136,25.6243300168881,0.7243300168881
Luxembourg,LUX,2006,18.3,Luxembourg,19.6955508413745,18.337874880603,19.01671286098875,0.7167128609887499
Norway,NOR,2006,18.6,Norway,18.8305739513893,19.8006633843264,19.315618667857848,0.7156186678578464
Macedonia,MKD,2006,18.8,Macedonia (TFYR),18.6921800355056,20.3321687061248,19.512174370815202,0.7121743708152017
Ireland,IRL,2006,19.3,Ireland,19.4771813680801,20.5423746081605,20.009777988120298,0.7097779881202975
Dominica,DMA,2006,22.3,Dominica,14.901412266728501,31.1157107787309,23.0085615227297,0.7085615227296991
France,FRA,2006,17.9,France,18.0482923259808,19.1662073917527,18.60724985886675,0.7072498588667528
Solomon Islands,SLB,2006,16.5,Solomon Islands,12.5598638756412,21.849205220014202,17.204534547827702,0.7045345478277021
Morocco,MAR,2016,26.1,Morocco,20.1671259452129,33.4324853373128,26.79980564126285,0.6998056412628486
Poland,POL,2006,19.4,Poland,19.4592882874746,20.738864922637,20.0990766050558,0.6990766050558008
Germany,DEU,2006,18.4,Germany,19.935128190851202,18.2627374912052,19.0989328410282,0.6989328410282027
Belize,BLZ,2006,19.1,Belize,12.451360867645999,27.1454717030998,19.7984162853729,0.6984162853729003
Uruguay,URY,2006,23.2,Uruguay,20.4839974271181,27.311713238552,23.89785533283505,0.6978553328350507
Iceland,ISL,2006,18.2,Iceland,19.8891473293831,17.8972773716318,18.89321235050745,0.6932123505074514
Colombia,COL,2016,22.3,Colombia,18.281183849925302,27.701350305609303,22.991267077767304,0.6912670777673036
Belgium,BEL,2006,18.9,Belgium,19.475204454374502,19.7020727632448,19.588638608809653,0.6886386088096543
Armenia,ARM,2016,20.2,Armenia,17.751102499324002,24.0239091450513,20.88750582218765,0.6875058221876493
Bulgaria,BGR,2006,20.8,Bulgaria,20.76042057412,22.2097582520554,21.4850894130877,0.6850894130876988
Panama,PAN,2006,17.7,Panama,13.498924586091702,23.258195367069202,18.37855997658045,0.678559976580452
Croatia,HRV,2006,19.8,Croatia,19.231785138159697,21.7231733103926,20.47747922427615,0.6774792242761478
Tunisia,TUN,2006,21.3,Tunisia,14.1151239496564,29.8388125918909,21.97696827077365,0.6769682707736493
Montenegro,MNE,2006,19.1,Montenegro,18.686387966839398,20.866545311162398,19.776466639000898,0.6764666390008962
Honduras,HND,2016,21.4,Honduras,16.2391185329223,27.9136860654084,22.076402299165352,0.6764022991653533
Lithuania,LTU,2016,26.3,Lithuania,25.011711277744,28.9402333411126,26.9759723094283,0.6759723094282997
Cyprus,CYP,2006,18.5,Cyprus,18.2331154613156,20.1185950441239,19.17585525271975,0.6758552527197494
Slovenia,SVN,2006,16.8,Slovenia,15.839489189410699,19.1115847406088,17.475536965009752,0.6755369650097514
Latvia,LVA,2016,23.6,Latvia,22.3751364740172,26.168391201118602,24.271763837567903,0.6717638375679016
Austria,AUT,2006,16.1,Austria,17.6010988764916,15.913516363339001,16.757307619915302,0.6573076199153007
Romania,ROU,2006,18.2,Romania,18.3678836620631,19.3421394090629,18.855011535563,0.655011535563002
Cote d'Ivoire,CIV,2016,10.3,Cote d'Ivoire,6.06785858756467,15.841969149618802,10.954913868591735,0.6549138685917342
Mexico,MEX,2016,28.9,Mexico,25.1199922251672,33.981735269358,29.550863747262596,0.6508637472625978
Haiti,HTI,2016,22.7,Haiti,18.6275272334621,28.065225152378897,23.3463761929205,0.6463761929204992
Seychelles,SYC,2016,14.0,Seychelles,7.9038833889606295,21.3881950617296,14.646039225345115,0.646039225345115
Denmark,DNK,2006,16.0,Denmark,18.062238955554697,15.229786887057701,16.6460129213062,0.6460129213061983
Nicaragua,NIC,2016,23.7,Nicaragua,18.6082789350422,30.082635319913,24.3454571274776,0.6454571274776022
Bahamas,BHS,2006,26.6,Bahamas,19.5751366471716,34.9141748323332,27.244655739752403,0.6446557397524018
Ecuador,ECU,2016,19.9,Ecuador,15.445927357647099,25.643237591944303,20.5445824747957,0.6445824747957012
Netherlands,NLD,2006,15.8,Netherlands,15.758790124462898,17.1207743310687,16.439782227765797,0.6397822277657959
Paraguay,PRY,2006,15.2,Paraguay,12.7451469788384,18.933671443798,15.839409211318202,0.6394092113182026
Georgia,GEO,2016,21.7,Georgia,19.9101739035454,24.7660274233141,22.33810066342975,0.6381006634297499
Ukraine,UKR,2016,24.1,Ukraine,22.7568681137529,26.7184377865738,24.73765295016335,0.6376529501633499
Bosnia and Herzegovina,BIH,2016,17.9,Bosnia and Herzegovina,17.821627146938802,19.2512437827625,18.53643546485065,0.6364354648506527
Albania,ALB,2006,16.0,Albania,15.4572476504116,17.8085318312316,16.6328897408216,0.6328897408216001
Sweden,SWE,2006,16.7,Sweden,18.604046396580102,16.0537703852587,17.328908390919402,0.6289083909194026
Antigua and Barbuda,ATG,2016,18.9,Antigua and Barbuda,12.0878285377707,26.9691188260471,19.5284736819089,0.6284736819089005
Mongolia,MNG,2016,20.6,Mongolia,18.2360923752693,24.2190107932222,21.227551584245752,0.6275515842457509
Belarus,BLR,2016,24.5,Belarus,22.9123275136731,27.336911803228496,25.124619658450797,0.624619658450797
Yemen,YEM,2016,17.1,Yemen,12.461457822667,22.972367363796202,17.7169125932316,0.6169125932316
Bolivia,BOL,2016,20.2,Bolivia,15.0710542822057,26.5583154265935,20.8146848543996,0.6146848543996022
Serbia,SRB,2006,17.7,Serbia,16.9648554755977,19.6606055561627,18.3127305158802,0.6127305158802017
Portugal,PRT,2006,16.3,Portugal,15.5417442911233,18.282089816250398,16.91191705368685,0.6119170536868488
Azerbaijan,AZE,2016,19.9,Azerbaijan,16.4698517996196,24.551713946501998,20.510782873060798,0.6107828730607991
Brunei,BRN,2016,14.1,Brunei Darussalam,12.995528387389902,16.4253427515368,14.71043556946335,0.6104355694633501
Kazakhstan,KAZ,2016,21.0,Kazakhstan,19.5682181225138,23.6484466554447,21.60833238897925,0.6083323889792496
Slovakia,SVK,2006,17.2,Slovakia,17.312944838229498,18.3023734425427,17.8076591403861,0.6076591403861009
Italy,ITA,2006,16.9,Italy,16.9233257971764,18.09148624954,17.5074060233582,0.6074060233582017
Turkey,TUR,2006,25.7,Turkey,18.4118590883163,34.1992452028421,26.3055521455792,0.6055521455791997
Jamaica,JAM,2016,24.7,Jamaica,15.8876272931671,34.720230098832,25.30392869599955,0.6039286959995493
Botswana,BWA,2016,18.9,Botswana,8.503127870469159,30.5036832902084,19.50340558033878,0.6034055803387801
Gabon,GAB,2016,15.0,Gabon,10.035224504682699,21.1709231539087,15.603073829295699,0.603073829295699
Papua New Guinea,PNG,2006,15.9,Papua New Guinea,12.1351905374397,20.8598552552928,16.49752289636625,0.5975228963662484
Jamaica,JAM,2006,18.9,Jamaica,10.6008838297278,28.3722774407831,19.48658063525545,0.5865806352554515
Cote d'Ivoire,CIV,2006,6.6,Cote d'Ivoire,3.4851844828506597,10.8861451660551,7.185664824452879,0.5856648244528797
Saint Lucia,LCA,2016,19.7,Saint Lucia,12.4945935497114,28.0767246778142,20.2856591137628,0.5856591137628016
Switzerland,CHE,2006,15.9,Switzerland,18.038096725352602,14.9330086411998,16.4855526832762,0.5855526832761999
Peru,PER,2006,15.7,Peru,11.7491073458951,20.7981507458722,16.27362904588365,0.5736290458836493
Turkmenistan,TKM,2016,18.6,Turkmenistan,16.4929764961674,21.8442436273365,19.16861006175195,0.5686100617519472
Trinidad and Tobago,TTO,2016,18.6,Trinidad and Tobago,11.233121226677198,27.0961022103126,19.1646117184949,0.5646117184948984
Equatorial Guinea,GNQ,2016,8.0,Equatorial Guinea,3.9512588350056497,13.1740596611053,8.562659248055475,0.5626592480554748
Barbados,BRB,2006,17.9,Barbados,10.6464082848435,26.2575606611456,18.45198447299455,0.5519844729945511
Djibouti,DJI,2016,13.5,Djibouti,8.98162567936281,19.1106879809026,14.046156830132706,0.5461568301327056
Brazil,BRA,2006,17.3,Brazil,14.2266908993845,21.4636636731307,17.845177286257602,0.5451772862576014
Ecuador,ECU,2006,15.6,Ecuador,11.2963583259965,20.9721146732084,16.13423649960245,0.5342364996024518
Estonia,EST,2006,18.6,Estonia,17.0646337385353,21.1952199119714,19.12992682525335,0.529926825253348
Tajikistan,TJK,2016,14.2,Tajikistan,12.0452541522513,17.4065022042112,14.72587817823125,0.5258781782312507
Honduras,HND,2006,15.6,Honduras,10.9539372558222,21.2952288959167,16.124583075869452,0.5245830758694527
Nicaragua,NIC,2006,18.4,Nicaragua,13.505355796000401,24.3410055906245,18.923180693312453,0.5231806933124545
Uzbekistan,UZB,2016,16.6,Uzbekistan,14.368900119468,19.8627219466556,17.1158110330618,0.515811033061798
Mexico,MEX,2006,23.8,Mexico,19.7647016950513,28.857344334782898,24.311023014917097,0.5110230149170967
Bhutan,BTN,2016,6.4,Bhutan,4.923729014802429,8.89683725512795,6.91028313496519,0.5102831349651895
Moldova,MDA,2016,18.9,Moldova,16.7952136855538,22.02526711916,19.410240402356898,0.5102404023568994
Antigua and Barbuda,ATG,2006,14.7,Antigua and Barbuda,8.70858412018854,21.7090697648991,15.20882694254382,0.5088269425438199
Saint Kitts and Nevis,KNA,2006,17.2,Saint Kitts and Nevis,10.7333953315187,24.6816633734885,17.7075293525036,0.5075293525035995
Bosnia and Herzegovina,BIH,2006,14.3,Bosnia and Herzegovina,13.451898554323499,16.158399650498602,14.80514910241105,0.5051491024110497
